HandLabel,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,Movement
LeftHand,162.14,370.10,224.77,320.60,297.92,302.30,351.71,332.23,367.83,373.63,262.39,239.79,353.58,278.36,343.05,311.62,311.87,315.09,229.97,279.72,344.25,330.63,324.42,357.31,293.81,354.82,207.52,332.51,322.03,383.66,296.51,397.66,264.54,390.35,195.42,390.55,293.21,430.67,287.28,436.45,269.04,430.14,3.935
RightHand,398.00,265.40,381.92,239.25,355.16,209.69,326.94,191.00,306.92,176.82,389.05,169.09,349.14,159.00,327.85,167.97,317.07,177.21,386.71,175.43,345.17,166.93,328.10,179.25,320.86,192.00,379.06,188.53,339.35,182.38,327.84,196.83,324.70,210.11,367.89,205.91,334.56,207.97,326.39,217.93,324.53,226.30,17.641
LeftHand,166.20,372.88,229.71,323.95,303.41,308.78,358.89,346.24,372.60,392.38,263.45,238.33,358.14,288.97,340.52,318.25,308.35,312.19,233.90,280.95,345.79,336.09,319.73,359.08,287.51,349.87,213.72,334.63,325.68,383.40,297.00,397.99,264.13,390.30,203.94,392.12,299.05,425.59,283.62,434.16,257.34,430.89,6.950
LeftHand,167.82,358.35,206.62,309.57,254.51,269.58,293.74,247.43,313.93,240.68,254.00,232.67,339.52,269.70,327.50,297.54,305.18,297.98,238.88,266.43,329.95,312.73,308.70,331.52,282.22,326.56,226.94,310.01,309.83,353.95,286.20,363.14,261.17,353.38,219.17,356.06,286.69,386.59,267.10,391.23,242.75,382.29,41.487
RightHand,395.35,299.83,387.68,247.38,359.86,200.95,314.82,179.58,276.58,176.03,370.85,168.71,294.33,154.89,299.47,174.42,318.08,183.68,359.82,193.36,282.21,178.95,292.24,195.09,312.88,203.67,347.87,221.61,275.97,205.77,289.93,219.73,312.59,227.11,335.58,250.04,280.14,236.21,291.42,245.67,311.25,251.98,34.654
RightHand,402.54,263.11,405.98,224.97,391.20,190.84,363.99,177.54,338.92,179.72,388.61,172.60,344.11,160.70,319.66,166.68,308.09,174.30,375.54,183.29,328.20,173.82,311.81,185.76,308.66,194.51,361.98,200.82,316.64,195.31,311.05,210.55,317.71,219.07,347.85,223.42,309.35,222.64,308.32,233.03,317.25,238.98,28.948
RightHand,417.76,283.19,411.76,242.72,382.40,202.26,344.06,182.81,318.37,173.58,403.32,167.59,343.23,163.91,345.58,182.77,359.70,188.42,395.24,176.08,331.65,180.68,342.44,198.26,358.07,199.79,384.31,191.73,327.08,198.08,339.57,216.46,355.49,216.70,371.45,211.81,327.06,219.03,337.53,233.08,352.67,233.74,25.044
RightHand,406.92,273.67,407.24,233.78,387.65,197.44,355.63,182.21,327.84,183.90,380.78,175.99,326.46,160.57,309.54,167.80,305.32,175.05,370.21,192.88,307.70,182.75,305.67,193.35,315.98,199.70,359.09,215.82,301.18,210.41,308.53,221.45,325.35,224.30,347.93,242.03,305.05,239.74,313.68,247.75,329.13,250.12,27.523
RightHand,408.01,274.07,404.47,235.69,377.87,202.60,339.62,189.77,311.38,185.52,390.26,182.18,341.79,177.98,331.02,189.60,332.33,198.24,380.19,197.08,325.22,203.79,329.17,218.39,340.93,221.99,368.52,216.94,318.72,223.49,326.71,236.23,339.71,239.38,355.66,238.63,315.80,239.96,322.46,251.31,334.30,254.68,17.513
RightHand,408.94,278.25,405.25,236.37,379.79,206.88,341.49,194.30,314.80,188.14,401.15,179.82,350.05,173.62,336.45,183.57,334.71,191.33,391.91,187.93,330.83,197.00,335.49,213.04,347.73,215.90,379.39,203.29,323.73,215.00,333.16,231.08,346.87,232.27,364.47,223.18,321.49,233.43,329.19,246.76,342.09,247.63,8.899
RightHand,409.56,287.28,408.14,243.79,382.66,210.35,342.39,196.00,313.77,190.07,409.23,185.18,355.80,172.66,337.70,184.48,334.21,193.27,400.07,190.22,335.55,192.84,337.02,211.32,349.38,217.76,385.83,202.37,326.13,210.04,334.27,229.19,349.05,234.11,368.25,219.00,322.37,230.23,328.80,245.06,341.71,248.03,4.408
RightHand,408.00,282.69,407.42,240.51,382.46,207.55,342.62,193.39,315.83,189.50,404.19,180.79,349.81,172.77,336.22,186.87,338.00,195.84,395.23,188.56,331.81,194.29,333.98,211.18,346.47,216.17,382.43,203.09,323.68,212.51,331.82,229.90,346.28,233.02,367.40,221.94,321.53,232.53,328.18,246.84,341.11,248.99,3.444
RightHand,409.56,278.50,405.68,239.63,379.54,204.14,342.99,190.33,315.96,186.91,389.20,180.76,337.86,172.54,328.12,183.27,329.60,189.82,380.98,193.81,322.18,197.21,329.12,213.00,343.62,217.19,370.72,212.97,317.65,218.58,328.20,233.53,343.95,235.06,359.34,235.30,319.43,239.28,328.39,251.63,342.27,253.78,7.652
RightHand,408.68,289.88,412.15,245.89,394.43,212.07,364.14,199.93,340.23,201.51,396.74,189.02,341.40,180.15,327.78,188.83,327.39,193.82,382.87,195.47,330.44,199.53,337.49,216.64,353.46,223.22,367.31,210.01,321.95,213.55,330.50,230.21,346.25,233.53,351.08,228.78,318.11,232.72,327.12,246.21,340.29,250.11,9.295
LeftHand,181.99,361.20,231.41,317.56,286.17,300.29,335.06,325.52,354.70,364.82,253.14,243.24,337.04,279.17,337.90,307.69,319.50,317.66,228.71,274.51,338.29,323.76,318.84,347.46,291.76,345.92,212.84,316.44,314.83,372.05,291.70,382.73,264.13,373.78,204.47,364.47,283.50,409.04,270.84,415.14,249.13,406.16,28.285
RightHand,401.12,319.10,401.66,278.51,375.25,246.08,337.50,232.45,309.41,226.95,397.62,228.26,345.08,216.98,328.57,230.59,327.63,242.61,385.67,241.64,327.84,243.25,327.31,261.00,338.79,267.99,370.31,260.15,319.57,266.24,325.71,282.01,338.80,288.32,353.82,280.55,317.73,285.51,322.68,299.20,332.44,304.80,45.636
